NX 3 NY 3 NZ 2 D 2
X  Y  Z  BCTYPE  UVAL  VVAL  WVAL  PVAL
0.0  0.0  0  1  0  0  0  0
0.5  0.0  0  1  0  0  0  0
1.0  0.0  0  1  0  0  0  0
0.0  0.5  0  1  0  0  0  0
0.5  0.5  0  0  0  0  0  0
1.0  0.5  0  1  0  0  0  0
0.0  1.0  0  1  0  0  0  0
0.5  1.0  0  1  0  0  0  0
1.0  1.0  0  1  0  0  0  0
0.0  0.0  1  1  0  0  0  0
0.5  0.0  1  1  0  0  0  0
1.0  0.0  1  1  0  0  0  0
0.0  0.5  1  1  0  0  0  0
0.5  0.5  1  0  0  0  0  0
1.0  0.5  1  1  0  0  0  0
0.0  1.0  1  1  0  0  0  0
0.5  1.0  1  1  0  0  0  0
1.0  1.0  1  1  0  0  0  0
